given,family,country
Hanna,Kokko,finland
Eero,Saksela,finland
Ismo,Dunderberg,finland
Hannu,Oja,finland
Jorma,Palvimo,finland
Matti,Punkkinen,finland
Raimo,Raunio,finland
Pertti,Haaparanta,finland
Marja-Leena,Sorjonen,finland
Marja-Riitta,Taskinen,finland
Mika,Scheinin,finland
Jouko,Kankare,finland
Riitta,Korpela,finland
Kai,Krohn,finland
Matti,Manninen,finland
Seppo,Knuuttila,finland
Ilkka,Kilpeläinen,finland
Jorma,Toppari,finland
Juha,Äystö,finland
Pertti,Hakonen,finland
Osmo,Rämö,finland
Tiina,Kinnunen,finland
Lauri,Hautamäki,finland
Heikki,Patomäki,finland
Eero,Holopainen,finland
Pekka,Hallberg,finland
Aulis,Aarnio,finland
Yrjö,Viisanen,finland
Matti,Leino,finland
Jaana,Salmela-Aro,finland
Pauli,Saukkonen,finland
Matti,Ojala,finland
Visa,Immonen,finland
Heikki,Juslin,finland
Vesa,Mattila,finland
Mika,Pettersson,finland
Tuija,Laine,finland
Pekka,Sulkunen,finland
Jeja,Roos,finland
Riitta,Salmelin,finland
Veikko,Anttonen,finland
Niculae-Gabriel,Sandu,finland
Tapio,Salmi,finland
Lassi,Päivärinta,finland
Jyrki,Kauppinen,finland
Erkki,Korpimäki,finland
Markku,Poutanen,finland
Eva-Mari,Aro,finland
Juha,Kinnunen,finland
Jarmo,Korhonen,finland
Tuija,Pulkkinen,finland
Toivo,Katila,finland
Olli,Vapalahti,finland
Heikki,Väänänen,finland
Risto,Saarinen,finland
Petri,Karonen,finland
Annele,Hatakka,finland
Hannu,Salmi,finland
Hannu,Sariola,finland
Vesa,Kanniainen,finland
Tiina,Tenkanen,finland
Esko,Ukkonen,finland
Lauri,Lindgren,finland
Kari,Palonen,finland
Ralf,Salomaa,finland
Jan,Knip,finland
Pentti,Virrankoski,finland
Pentti,Leino,finland
Kaarlo,Klemola,finland
Anu,Wartiovaara,finland
Markku,Yli-Halla,finland
Sirpa,Jalkanen,finland
Ulla-Maija,Forsberg,finland
Heta,Pyrhönen,finland
Irma,Sulkunen,finland
Kimmo,Nuotio,finland
Heikki,Hämäläinen,finland
Johan,Wrede,finland
Jari,Yli-Kauhaluoma,finland
Harri,Andersson,finland
Hanna,Lehti-Eklund,finland
Leena,Syrjälä,finland
Tero,Kilpeläinen,finland
Kari,Majamaa,finland
Toivo,Viljamaa,finland
Petri,Myllymäki,finland
Pentti,Hakkila,finland
Päivi,Pahta,finland
Eila,Helander,finland
Leevi,Kääriäinen,finland
Markku,Heikkilä,finland
Risto,Hiltunen,finland
Kalevi,Rikkinen,finland
Kai,Kaarniranta,finland
Jukka,Nevakivi,finland
Mari,Ivaska,finland
Timo,Kairesalo,finland
Olli,Jänne,finland
Aimo,Vihervuori,finland
Risto,Heiskala,finland
Heikki,Palva,finland
Jaakko,Nousiainen,finland
Kati,Tervo-Niemelä,finland
Olli,Simell,finland
Harri,Vasander,finland
Juha,Tuomi,finland
Leena,Kolehmainen,finland
Ilkka,Niiniluoto,finland
Enrico,Garavelli,finland
Kari-Jouko,Räihä,finland
Lea,Pulkkinen,finland
Juhani,Lehtonen,finland
Risto,Sänkiaho,finland
Marja-Leena,Piitulainen,finland
Johanna,Honkala,finland
Timo,Repo,finland
Esko,Kauppinen,finland
Toive,Aartolahti,finland
Antti,Kupiainen,finland
Eero,Nevanlinna,finland
Riitta,Hjerppe,finland
Carita,Kvarnström,finland
Vieno,Piironen,finland
Eero,Ylätalo,finland
Pertti,Uotila,finland
Erkki,Olkinuora,finland
Markku,Seppälä,finland
Kimmo,Kontula,finland
Jukka,Sihvonen,finland
Jaana,Bäck,finland
Marja,Myllyharju,finland
Markku,Mäki,finland
Heikki,Joensuu,finland
Marja-Kristiina,Lerkkanen,finland
Lauri,Eskola,finland
Jarkko,Koskinen,finland
Pirjo,Nuutila,finland
Pasi,Puttonen,finland
Jukka,Jernvall,finland
Raimo,Lahti,finland
Eero,Päivänen,finland
Jarmo,Visakorpi,finland
Yrjö,Haila,finland
Toivo,Pihlaja,finland
Kimmo,Alho,finland
Pekka,Neittaanmäki,finland
Jukka,Mönkkönen,finland
Juha,Karhu,finland
Jukka,Gronow,finland
Heikki,Paloheimo,finland
Erkki,Haukioja,finland
Tuula,Linna,finland
Helmi,Järviluoma-Mäkelä,finland
Heisuke,Hironaka,france
Johann,Pfaff,france
Jürgen,Moser,france
Jean-Paul,Thiery,france
Antoine-Jean,Chaillou,france
Nikolay,Semyonov,france
Pierre,Tiollais,france
Philibert,Chabert,france
John,Pond,france
Jean,Leray,france
Bernard,Bessy,france
Charles,Geer,france
Heinrich,Olbers,france
Philippe,Pinel,france
Paul,Lecomte,france
Louis,Breteuil,france
Antoine,Jussieu,france
Henri,Becquerel,france
Pierre,Magnol,france
François,Beudant,france
Denis,Dodart,france
Richard,Karp,france
Francis,Crick,france
Jacob,Bernoulli,france
Édouard,Verneuil,france
Michael,Waterman,france
François,Rosily-Mesros,france
Jean-Baptiste,Beaumont,france
Marie,Savigny,france
Jean,Oudemans,france
Daniel,Bovet,france
Jean-Claude,Weill,france
Sam,Edwards,france
Thomas,Lecuit,france
Claude,Burdin,france
Yves,Quéré,france
Jean,d'Halloy,france
André,Lallemand,france
Alexis,Bertins,france
Jean-Pierre,Changeux,france
Jacques,Labillardière,france
Jérôme,Lalande,france
Jean-Baptiste,Bornet,france
Erich,Spitz,france
Camille,Arambourg,france
André,Maréchal,france
Pierre,Deslongchamps,france
André,Lwoff,france
Patrick,Flandrin,france
Jean-Pierre,Sauvage,france
Jean-Marie,Tarascon,france
Jules,Gosselet,france
Gaston,Ramon,france
Antoine,Parent,france
Thierry,Aubin,france
Louis,Gouy,france
Michael,Herman,france
Jean-Henri,Humbert,france
Joseph-Louis,Lagrange,france
Joseph-Bernard,Chabert-Cogolin,france
Henri,Sénarmont,france
Georges,Pelletier,france
Pierre,Jacquinot,france
David,Donoho,france
Max,Delbrück,france
Pierre,Robiquet,france
Michel,Duflo,france
Evry,Schatzman,france
Albin,Roussin,france
Pierre-Gilles,Gennes,france
François,Huber,france
Camille,Louvois,france
Henri,Lôme,france
Jean-Charles,Borda,france
Pierre,Dehérain,france
Marcel-Paul,Schützenberger,france
Pierre,Joliot,france
Michel,Jouvet,france
Georges,Urbain,france
Jean,Terrasson,france
Claude,Debru,france
Manne,Siegbahn,france
Jean,Audouin,france
Guillaume,Dubois,france
David,Ruelle,france
Paul,Villard,france
Johann,Wurzelbauer,france
Jacopo,Belgrado,france
Louis,Carbonnières,france
Yves,Jeannin,france
Eugène,Rouché,france
Gilbert,Ballet,france
Ernst,Knobil,france
Maurice,Goldman,france
Philippe,Taquet,france
Jean-Claude,Pecker,france
Jean-Paul,Laumond,france
Michel,Fardeau,france
Jacques,Bresse,france
Almroth,Wright,france
Pedro,Pissis,france
Julien,Costantin,france
Augustin-Jean,Fresnel,france
Antoine,François,france
Louis,Broglie,france
Gérard,Berry,france
Bernard,Picinbono,france
Stephen,Hales,france
Auguste,Rateau,france
Anselme,Payen,france
Jean,Petit,france
Henri,Rochefort,france
Émile,Blanchard,france
Robert,Robinson,france
Urbain,Verrier,france
Simon,Donaldson,france
John,Goodenough,france
Jean-Frédéric,Phélypeaux,france
Satoshi,Ōmura,france
Jean-Baptiste-Michel,Bucquet,france
Michel,Pouchard,france
Friedrich,Bessel,france
Marc,Yor,france
Alfred,Jost,france
Achille,Delesse,france
Piotr,Słonimski,france
Jacques-Arsène,d'Arsonval,france
François,Jacob,france
James,Hall,france
Bernard,Bélidor,france
Jean-François,Gall,france
Jacques,d'Allonville,france
Augustin,Candolle,france
Marie,Andoyer,france
Aymar,Pluvinel,france
Jean,Picard,france
Brebis,Bleaney,france
Jean-Baptiste,Colbert,france
Otto,Müller,france
Guillaume,Amontons,france
Victor-Marie,d'Estrées,france
Maurice,Hamy,france
Louis,Freycinet,france
Étienne,Bézout,france
René,Leriche,france
Paul,Schützenberger,france
Daniel-Charles,Trudaine,france
Charles,Bouchard,france
José-Alain,Sahel,france
Louis,Gassicourt,france
Charles,Laveran,france
Stanislas,Dehaene,france
Eugenius,Warming,france
Ferdinand,Cohn,france
André-Louis,Danjon,france
Miroslav,Radman,france
Claude-Louis,Navier,france
Luigi,Cavalli-Sforza,france
Emmanuel,Martonne,france
Charles-Victor,Mauguin,france
Gabriele,Veneziano,france
Gustave,Choquet,france
Albin,Haller,france
Françoise,Combes,france
Paul-André,Meyer,france
Henri,Pitot,france
Yves,Agid,france
Cédric,Villani,france
Ernest,Mouchez,france
Odilon,Lannelongue,france
James,Douglas,france
Antoine,d'Abbadie,france
Jean-Baptiste,d'Auteroche,france
François,Grand'Eury,france
Philippe,Kourilsky,france
Jules,Drach,france
Jules,Debray,france
Antoine,Danchin,france
Philippe,Ascher,france
Henri,Cartan,france
Charles,Friedel,france
Jacob,Palis,france
Adolphe,Carnot,france
Joseph,Douvillé,france
François,Roulin,france
Marc,Tiffeneau,france
Eugène,Bouvier,france
Marquis,Condorcet,france
Louis,Thénard,france
Eustachio,Manfredi,france
Armand,Borel,france
Gilles,Pisier,france
Augustin-Louis,Cauchy,france
Pierre,Benveniste,france
Pierre,Potier,france
François-Joseph,Hunauld,france
Jean-Baptiste,Biot,france
Roland,Glowinski,france
Auguste,Michel-Lévy,france
Gustaf,Retzius,france
Jean-Michel,Savéant,france
Ilan,Marek,france
Henry,Bessemer,france
Jean-Victor,Poncelet,france
Georges,Cuvier,france
Martin,Gibbs,france
Charles,Fehrenbach,france
Pedro,Maldonado,france
Jean-Michel,Bony,france
Walter,Gehring,france
Uriel,Frisch,france
Jacques,Cassini,france
Henri,Dutrochet,france
Niels,Jerne,france
Geneviève,Almouzni,france
Didier,Roux,france
William,Vainchenker,france
Jules,Delessert,france
Henri-Jacques,Caumont,france
Jean-Louis,Mandel,france
Louis,Lémery,france
René,Thom,france
Jean-Baptiste,d'Arnouville,france
Hubert,Curien,france
Denis,Burkitt,france
Émile,Achard,france
Friedrich,Hirzebruch,france
Jules,Cloquet,france
Jean-Bernard,Zuber,france
Francis,Howell,france
Maurice,Fréchet,france
Neil,Bartlett,france
Yves,Delage,france
Pierre,Deligne,france
Robert,Bunsen,france
Constant,Prévost,france
Auguste,Bravais,france
